($ in millions)
**For the year ended December 31:**,**Notes**,**2025**,,**2024**,,**2023**
**Net income**,,"$ 10,593",$,"6,023",$,"7,502"
"**Other comprehensive income/(loss), before tax**"
**Foreign currency translation adjustments**,R,(972),,301,,3
**Net unrealizedgains/(losses) on available-for-sale securities**,R,(1),,2,,0
**Unrealized gains/(losses) on cash flow hedges**,R
Unrealizedgains/(losses) arisingduringtheperiod,,(66),,389,,207
Reclassification of (gains)/losses to net income,,(449),,85,,(159)
**Total unrealizedgains/(losses) on cash flow hedges**,,(514),,474,,47
**Retirement-related benefit plans**,R
Prior service costs/(credits),,(469),,(56),,2
Netgains/(losses) arisingduringtheperiod,,392,,70,,"(3,115)"
Curtailments and settlements,,9,,"3,159",,5
Amortization ofprior service costs/(credits),,(7),,(7),,(9)
Amortization of net (gains)/losses,,623,,975,,515
**Total retirement-related benefitplans**,,548,,"4,142",,"(2,602)"
"**Other comprehensive income/(loss), before tax**",R,(939),,"4,919",,"(2,552)"
**Income tax (expense)/benefit related to items of other comprehensive income**,R,494,,"(1,426)",,531
"**Other comprehensive income/(loss), net of tax**",R,(445),,"3,492",,"(2,021)"
**Total comprehensive income**,,"$ 10,148",$,"9,516",$,"5,481"
