($ in millions except per share amounts)
**Acquisition-**,,**Retirement-**,,,**U.S. Tax**
**Related**,,**Related**,,**Reform**,,**Operating**
"**For the year ended December 31, 2024:**",,**GAAP**,**Adjustments**,,**Adjustments(3)**,,,**Impacts(1)**,**(non-GAAP)**
Grossprofit,$,"35,551",$,<br>724,$,—,$,<br>—,$,"36,275"
Grossprofit margin,,56.7 %,,1.2pts.,,—pts.,,—pts.,,57.8 %
SG&A,$,"19,688",$,"(1,159)",$,—,$,<br>—,$,"18,529"
Other (income) and expense(4),,"1,871",,(70),,"(3,457)",,—,,"(1,656)"
Total expense and other (income),,"29,754",,"(1,229)",,"(3,457)",,—,,"25,068"
Pre-tax income from continuingoperations,,"5,797",,"1,953",,"3,457",,—,,"11,207"
Pre-tax margin from continuingoperations,,9.2 %,,3.1pts.,,5.5pts.,,—pts.,,17.9 %
Provision for/(benefit from) income taxes(2),$,(218),$,<br>497,$,790,$,<br>455,$,"<br>1,523"
Effective tax rate,,(3.8) %,,5.1pts.,,8.2pts.,,4.1pts.,,13.6 %
Income from continuingoperations,$,"6,015",$,"1,456",$,"2,668",$,<br>(455),$,"<br>9,684"
Income margin from continuingoperations,,9.6 %,,2.3pts.,,4.3pts.,,(0.7)pts.,,15.4 %
Diluted earningsper share from continuingoperations,$,6.42,$,<br>1.55,$,2.85,$,(0.49),$,<br>10.33
