**Weighted-Average**,**Weighted-Average**,**Number of Shares**
**Exercise Price**,**Under Option**
"Balance at January1, 2023",$,128,"6,274,525"
Optionsgranted,,133,"4,574,756"
Options exercised,,125,"(408,045)"
Options forfeited/cancelled/expired,,129,"(584,674)"
"Balance at December 31, 2023",$,130,"9,856,562"
Optionsgranted,,181,"3,156,770"
Options exercised,,133,"(2,384,273)"
Options forfeited/cancelled/expired,,143,"(623,663)"
"Balance at December 31, 2024",$,145,"10,005,396"
Optionsgranted,,262,"1,949,882"
Options exercised,,137,"(1,698,270)"
Options forfeited/cancelled/expired,,166,"(598,034)"
"Balance at December 31, 2025",$,168,"9,658,974"
"Vested and exercisable at December 31, 2025",$,137,"3,111,996"
