are reported on a comparable basis for all years.
($ in millions)
**Yr.-to-Yr.**,**Yr.-to-Yr.**
**Percent/**,**Percent Change**
**Margin**,**Adjusted for**
**For the year ended December 31:**,,**2025**,,**2024**,**Change**,**Currency**
**Revenue**
Software,$,"29,962",$,"27,085",10.6 %,9.1 %
Gross margin,,83.5 %,,83.7 %,(0.2)pts.
Consulting,,"21,055",,"20,692",1.8 %,0.4 %
Gross margin,,28.1 %,,27.0 %,1.1pts.
Infrastructure,,"15,718",,"14,020",12.1 %,10.4 %
Gross margin,,58.6 %,,55.8 %,2.9pts.
Financing,,737,,713,3.3 %,2.5 %
Gross margin,,45.3 %,,47.9 %,(2.6)pts.
Other(1),,63,,243,(74.0) %,(77.5) %
Gross margin,,NM,,(352.8) %,NM
**Total revenue**,$,"67,535",$,"62,753",7.6 %,6.1 %
**Totalgrossprofit**,$,"39,297",$,"35,551",10.5 %
Totalgross margin,,58.2 %,,56.7 %,1.5pts.
Non-operatingadjustments
Amortization of acquired intangible assets,,888,,724,22.6 %
**Operating (non-GAAP)grossprofit**,$,"40,184",$,"36,275",10.8 %
Operating(non-GAAP)gross margin,,59.5 %,,57.8 %,1.7pts.
