**Reconciliations of IBM as Reported**
($ in millions)
**For the year ended December 31:**,,**2025**,,**2024**,,**2023**
**Revenue**
Total reportable segments,$,"67,472",$,"62,510",$,"61,229"
Other—divested businesses,,(2),,35,,397
Other revenue(1),,65,,207,,235
**Total revenue**,$,"67,535",$,"62,753",$,"61,860"
($ in millions)
**For the year ended December 31:**,,**2025**,,**2024**,,**2023**
**Pre-tax income from continuing operations**
Total reportable segmentprofit,$,"16,364",$,"13,535",$,"12,829"
Amortization of acquired intangible assets,,"(2,166)",,"(1,830)",,"(1,627)"
Acquisition-related charges,,(154),,(122),,(33)
Non-operatingretirement-related(costs)/income(2),,(65),,"(3,457)",,39
Stock-based compensation(3),,"(1,685)",,"(1,311)",,"(1,133)"
Net interest excluding the Financing segment,,"(1,312)",,(984),,(973)
Workforce rebalancingcharges(3),,(653),,(692),,(435)
Other—divested businesses(4),,(33),,234,,83
Unallocated corporate amounts and other(5),,31,,425,,(59)
**Totalpre-tax income from continuing operations**,$,"10,328",$,"5,797",$,"8,690"
