,,Defined Benefit Pension Plans,,,,,Nonpension Postretirement Benefit Plans,
-----------------------------------------------------------------------------------------,----------,-------------------------------,-----------,----------------,---------,-------------------------,-----------------------------------------,----------------
,,U.S. Plans,,Non-U.S. Plans,,U.S. Plan,,Non-U.S. Plans
,2025,2024,2025,2024,2025,2024,2025,2024
Net loss at January 1,"\$ 6,153","\$ 9,467","\$ 11,950","\$ 12,937",\$ 188,\$<br>73,\$ 125,\$ 123
Current period loss/(gain),(147),(101),(291),(73),60,115,1,0
Curtailments and settlements (1),—,"(2,761)",(9),(398),—,—,0,0
Amortization of net loss included in net<br>periodic (income)/cost,(280),(452),(343),(516),—,—,(1),1
Net loss at December 31,"\$ 5,726","\$ 6,153","\$ 11,307","\$ 11,950",\$ 249,\$ 188,\$ 125,\$ 125
Prior service costs/(credits) at January 1,\$<br>0,\$<br>0,\$<br>342,\$<br>309,,\$ (321) \$ (350) \$,(1) \$,(1)
Current period prior service costs/(credits),0,—,469,56,0,—,0,0
"Curtailments, settlements and other",—,—,—,—,—,—,—,—
Amortization of prior service (costs)/credits<br>included in net periodic (income)/cost,—,0,(22),(22),29,29,0,0
Prior service costs/(credits) at December 31,\$<br>0,\$<br>0,\$<br>789,\$<br>342,,\$ (292) \$ (321) \$,(1) \$,(1)
Transition (assets)/liabilities at January 1,\$<br>—,\$<br>—,\$<br>—,\$<br>0,\$<br>—,\$<br>—,\$<br>0,\$<br>0
Transition (assets)/liabilities at December 31,\$<br>—,\$<br>—,\$<br>—,\$<br>0,\$<br>—,\$<br>—,\$<br>0,\$<br>0
Total loss recognized in accumulated other<br>comprehensive income/(loss) (2),"\$ 5,726","\$ 6,153","\$ 12,096","\$ 12,293",,\$ (43) \$ (133) \$ 124,,\$ 124
