"For the year ended December 31, 2025:",Before Tax<br>Amount,Tax (Expense)/<br>Benefit,Net of Tax<br>Amount
----------------------------------------------------------------,----------------------,---------------------------,----------------------
Other comprehensive income/(loss),,,
Foreign currency translation adjustments,\$<br>(972),\$<br>528,\$<br>(445)
Net unrealized gains/(losses) on available-for-sale securities,\$<br>(1),\$<br>0,\$<br>(1)
Unrealized gains/(losses) on cash flow hedges,,,
Unrealized gains/(losses) arising during the period,\$<br>(66),\$<br>8,\$<br>(58)
Reclassification of (gains)/losses to:,,,
Cost of services,27,(7),20
Cost of sales,15,(4),11
Cost of financing,4,(1),3
SG&A expense,6,(2),4
Other (income) and expense,(525),132,(393)
Interest expense,24,(6),18
Total unrealized gains/(losses) on cash flow hedges,\$<br>(514),\$<br>121,\$<br>(394)
Retirement-related benefit plans (1),,,
Prior service costs/(credits),\$<br>(469),\$<br>117,\$<br>(351)
Net gains/(losses) arising during the period,392,(168),224
Curtailments and settlements,9,(3),6
Amortization of prior service costs/(credits),(7),2,(5)
Amortization of net (gains)/losses,623,(104),519
Total retirement-related benefit plans,\$<br>548,\$<br>(154),\$<br>394
Other comprehensive income/(loss),\$<br>(939),\$<br>494,\$<br>(445)
