,,,Nonpension Postretirement Benefit Plans,,,
---------------------------------------------------,----------,-----------,-----------------------------------------,----------,----------------,----------
,,U.S. Plan,,,Non-U.S. Plans,
For the year ended December 31:,2025,2024,2023,2025,2024,2023
Service cost,\$<br>2,\$<br>2,\$<br>4,\$<br>2,\$<br>2,\$<br>2
Interest cost (2),114,106,117,42,41,39
Expected return on plan assets (2),—,—,—,(1),(1),(2)
Amortization of prior service costs/(credits) (2),(29),(29),(29),0,0,0
Recognized actuarial losses (2),—,—,—,1,(1),(1)
Curtailments and settlements (2),—,—,—,0,0,(2)
Other costs/(credits) (2),0,—,—,—,0,0
Total net periodic cost,\$<br>86,\$<br>79,\$<br>92,\$<br>44,\$<br>41,\$<br>36
