($inmillions),,,,,,,,,,,,
,,,,NonpensionPostretirementBenefitPlans,,,,,,,,
,,,"U .S Plan
.",,,,,,"Non-U .S Plans
.",,,
FortheyearendedDecember31:,,2025,,2024,,2023,,2025,,2024,,2023
Servicecost,$,2,$,2,$,4,$,2,$,2,$,2
Interestcost(2),,114,,106,,117,,42,,41,,39
Expectedreturnonplanassets(2),,—,,—,,—,,(1),,(1),,(2)
Amortizationofpriorservicecosts/(credits)(2),,(29),,(29),,(29),,0,,0,,0
Recognizedactuariallosses(2),,—,,—,,—,,1,,(1),,(1)
Curtailmentsandsettlements(2),,—,,—,,—,,0,,0,,(2)
Othercosts/(credits)(2),,0,,—,,—,,—,,0,,0
Totalnetperiodiccost,$,86,$,79,$,92,$,44,$,41,$,36
