($inmillions),,,,,,,,,,,,
,(Gain)/LossRecognizedinConsolidatedIncomeStatement,,,,,,,,,,,
,"Consolidated
IncomeStatement",,"Recognizedon
Derivative s",,,,,,"AttributabletoRisk
BeingHedg ed (1)",,,
FortheyearendedDecember31:,LineItem,,2025,,2024,,2023,,2025,2024,,2023
Derivativeinstrumentsinfairvaluehedges(2),,,,,,,,,,,,
Interestratecontracts,Costoffinancing,$,(11),$,41,$,17,$,22,$,(19) $,2
,Interestexpense,,(59),,208,,83,,118,,(97),11
Derivativeinstrumentsnotdesignatedas,,,,,,,,,,,,
hedginginstruments,,,,,,,,,,,,
,Other(income),,,,,,,,,,,
Foreignexchangecontracts,andexpense,,(116),,390,,192,,N/A,,N/A,N/A
Equitycontracts,SG&Aexpense,,(176),,(135),,(153),,N/A,,N/A,N/A
,Other(income),,,,,,,,,,,
,andexpense,,—,,—,,—,,N/A,,N/A,N/A
Total,,$,(362),$,504,$,140,$,140,$ (116) $,,13
