,Common,,,,,,,,,
,Stockand,,,Accumulated,,,,,,
,Additional,,,,Other,,TotalIBM,,Non-,
,Paid-in,Retained,Treasury,Comprehensive,,Stockholders’,,Controlling,,Total
,Capital,Earnings,Stock,Income/(Loss),,,Equity,Interests,,Equity
2024,,,,,,,,,,
"Equity, January 1 2024
,","$59643
,","$151276
,","$(169624)
,",$,"(18761)
,",$,"22533
,",$,80,"$22613
,"
Netincomeplusother,,,,,,,,,,
comprehensiveincome/(loss),,,,,,,,,,
Netincome,,"6023
,",,,,,"6023
,",,,"6023
,"
Othercomprehensiveincome/,,,,,,,,,,
(loss),,,,,"3492
,",,"3492
,",,,"3492
,"
Totalcomprehensiveincome,,,,,,$,"9516
,",,,"$ 9516
,"
Cash dividends paid—common,,,,,,,,,,
stock ($6 .67 per share),,"(6147)
,",,,,,"(6147)
,",,,"(6147)
,"
Commonstockissuedunder,,,,,,,,,,
"employee plans (12 ,253 ,153",,,,,,,,,,
shares),"1737
,",,,,,,"1737
,",,,"1737
,"
"Purchases (3 ,430 ,885 shares) and",,,,,,,,,,
"sales (2 ,454 ,155 shares) of",,,,,,,,,,
treasurystockunderemployee,,,,,,,,,,
plans—net,,11,(343),,,,(332),,,(332)
Changesinnoncontrollinginterests,,,,,,,,,6,6
"Equity, December 31 2024
,","$61380
,","$151163
,","$(169968)
,",$,"(15269)
,",$,"27307
,",$,86,"$27393
,"
