($inmillions),,,,,,
,,BeforeTax,Tax,(Expense)/,,NetofTax
"For the year ended December 31 , 2025:",,Amount,,Benefit,,Amount
Othercomprehensiveincome/(loss),,,,,,
Foreigncurrencytranslationadjustments,$,(972),$,528,$,(445)
Net unrealized gains/(losses) on available-for-sale securities,$,(1),$,0,$,(1)
Unrealizedgains/(losses)oncashflowhedges,,,,,,
Unrealizedgains/(losses)arisingduringtheperiod,$,(66),$,8,$,(58)
Reclassificationof(gains)/lossesto:,,,,,,
Costofservices,,27,,(7),,20
Costofsales,,15,,(4),,11
Costoffinancing,,4,,(1),,3
SG&Aexpense,,6,,(2),,4
Other(income)andexpense,,(525),,132,,(393)
Interestexpense,,24,,(6),,18
Totalunrealizedgains/(losses)oncashflowhedges,$,(514),$,121,$,(394)
Retirement-related benefit plans (1),,,,,,
Priorservicecosts/(credits),$,(469),$,117,$,(351)
Netgains/(losses)arisingduringtheperiod,,392,,(168),,224
Curtailmentsandsettlements,,9,,(3),,6
Amortizationofpriorservicecosts/(credits),,(7),,2,,(5)
Amortizationofnet(gains)/losses,,623,,(104),,519
Total retirement-related benefit plans,$,548,$,(154),$,394
Othercomprehensiveincome/(loss),$,(939),$,494,$,(445)
