($inmillions),,,,,
,Amortization,"HashiCorp, Inc.",,,Other
,Life(inYears),,(HashiCorp),,Acquisitions
Currentassets(1),,$,"1451
,",$,227
"Property, plant and equipment/noncurrent assets",,,457,,109
Intangibleassets,,,,,
Goodwill,N/A,,"4684
,",,"1254
,"
Clientrelationships,5—13,,980,,410
Completedtechnology,5—7,,770,,237
Trademarks,1—7,,85,,9
Totalassetsacquired,,$,"8427
,",$,"2246
,"
Currentliabilities,,,478,,246
Noncurrentliabilities,,,516,,87
Totalliabilitiesassumed,,$,993,$,333
Totalpurchaseprice,,$,"7433
,",$,"1912
,"
