,30 Jun 25,,,,,31 Dec 24,,
-------------------------------,-------------------,---------,--------------------,-----------,-------------------,-----------,--------------------,-----------
,Performing assets,,Doubtful<br>assets,,Performing assets,,Doubtful<br>assets,
In thousands of euros,Stage 1,Stage 2,Stage 3,Total,Stage 1,Stage 2,Stage 3,Total
Rating,,,,,,,,
from AAA to BBB- (Investment),"1,624,348","6,000",-,"1,630,348","1,490,465","2,200",-,"1,492,665"
from BB+ to CCC (Speculative),"2,799,608","207,718",-,"3,007,326","3,000,747","256,824",-,"3,257,571"
Not applicable (1),"112,408",-,-,"112,408","112,408",-,-,"112,408"
Doubtful,-,-,"117,870","117,870",-,-,"136,723","136,723"
Total,"4,536,363","213,718","117,870","4,867,951","4,603,620","259,024","136,723","4,999,367"
